time, sat, X, Y, Z, Vx, Vy, Vz, clock, dclock
2024-01-07T00:00:00.000000000,G01,13353.328548,-6383.644406,21672.805704,4.6822187730743e-310,0.0,6.9452523961265e-310,165.44142,0.0
2024-01-07T00:00:00.000000000,G02,15857.234286,974.695259,21822.048123,6.9452524532484e-310,6.94525245324206e-310,6.9452524508073e-310,-504.655609,6.9452173670967e-310
2024-01-07T00:00:00.000000000,G03,22237.1273,-9665.163164,10568.444403,6.94525239665455e-310,6.9452523965154e-310,6.9452524532958e-310,108.509491,9.357456686678039e-114
2024-01-07T00:00:00.000000000,G04,23169.081177,-649.794296,-13078.044278,6.94525239653123e-310,6.9452523965344e-310,6.9452524544025e-310,259.44729,6.94521736864056e-310
2024-01-07T00:00:00.000000000,G05,-18726.489673,-330.416351,-19045.511617,6.9452524993791e-310,6.9452162947956e-310,6.9452163217613e-310,-157.003358,6.9452173670374e-310
2024-01-07T00:00:00.000000000,G06,-6299.493034,-25584.242639,-2793.107453,6.9452163209558e-310,6.9452160982152e-310,6.94521609821123e-310,453.47531,2.987127786400023e-17
2024-01-07T00:00:00.000000000,G07,6912.674941,-20431.009063,-14695.660993,6.94521609601836e-310,6.9452160982231e-310,6.94521609866577e-310,-30.973905,6.94521736868325e-310
2024-01-07T00:00:00.000000000,G08,25913.446256,4662.368161,4838.030984,6.945216098231e-310,6.9452160982389e-310,6.94521609602153e-310,-160.81483,6.9452176996337e-310
2024-01-07T00:00:00.000000000,G09,13962.814051,-10370.336965,-20176.142804,6.9452161001353e-310,6.94521609824285e-310,6.9452160982626e-310,50.647808,3.6874427323292006e+278
2024-01-07T00:00:00.000000000,G10,-4845.35614,19463.904465,17438.74313,6.94521803760307e-310,6.9452161001385e-310,6.94521610011634e-310,-68.311406,6.9452173635347e-310
2024-01-07T00:00:00.000000000,G11,-11849.236025,-19844.127485,-13105.147174,6.94521654708686e-310,6.94521610014164e-310,6.9452161001448e-310,-530.292085,6.94521771509283e-310
2024-01-07T00:00:00.000000000,G12,-22951.62099,8234.240813,10159.242505,6.94521610014796e-310,6.94521619116197e-310,6.94525243328023e-310,-465.280193,-3.0731691800575556e+285
2024-01-07T00:00:00.000000000,G13,-22595.948483,-13937.552346,-2838.015699,6.94521610015113e-310,6.94525248823298e-310,6.9452172380009e-310,613.31294,6.9452173635845e-310
2024-01-07T00:00:00.000000000,G14,8694.815444,-20429.293806,14464.411485,6.94525238508155e-310,6.9452525060162e-310,6.9452524882298e-310,291.711081,6.94521767786953e-310
2024-01-07T00:00:00.000000000,G15,-26206.558084,-2056.654005,4021.629902,6.9452524994202e-310,6.9452525189362e-310,6.94521610015745e-310,114.615725,1.35e-321
2024-01-07T00:00:00.000000000,G16,14678.702477,7630.35762,-21196.637047,6.94525247460783e-310,6.9452161001606e-310,6.94525249052544e-310,-389.3287,6.94525347777374e-310
2024-01-07T00:00:00.000000000,G17,68.150413,-16004.632907,21603.912691,6.9452524890298e-310,6.9452161863794e-310,6.94521610016377e-310,720.462219,6.9452524900954e-310
2024-01-07T00:00:00.000000000,G18,-6191.19734,21467.246274,-14203.884148,6.94521610016694e-310,6.94521609594564e-310,6.9452523929139e-310,-525.777594,6.9452169534428e-310
2024-01-07T00:00:00.000000000,G19,-10153.567256,-17722.537011,16978.278135,6.94525252888074e-310,6.9452161001701e-310,6.94521610017326e-310,422.990705,6.94525249010805e-310
2024-01-07T00:00:00.000000000,G20,-9723.371341,-12214.438927,-21443.661063,6.94521654705524e-310,6.9452161001764e-310,6.9452163977889e-310,392.814135,6.9452523962277e-310
2024-01-07T00:00:00.000000000,G21,16632.303973,6539.990156,20426.657768,6.9452169940226e-310,6.94521610018275e-310,6.9452161001859e-310,139.215712,6.94521804887884e-310
2024-01-07T00:00:00.000000000,G22,2171.080754,-18316.48706,19650.607027,6.94521609652113e-310,6.9452161001954e-310,6.9452525190374e-310,52.672535,6.94521729376313e-310
2024-01-07T00:00:00.000000000,G23,-15393.886895,20347.513394,7038.678942,6.94521610019856e-310,6.9452161002017e-310,6.9452161002049e-310,130.364173,6.94521804395004e-310
2024-01-07T00:00:00.000000000,G24,-16389.118457,-2306.951034,20437.414332,6.94521610020804e-310,6.9452161002112e-310,6.94521610021437e-310,-408.880773,6.94524978685277e-310
2024-01-07T00:00:00.000000000,G25,-19869.392708,17389.271961,151.911829,6.94521610021753e-310,6.9452161002207e-310,6.94521610022385e-310,484.336023,6.9452525189773e-310
2024-01-07T00:00:00.000000000,G26,6933.41035,14982.362407,-20889.732216,6.9452525189836e-310,6.945216100227e-310,6.9452161002302e-310,202.66814,6.94525251134734e-310
2024-01-07T00:00:00.000000000,G28,5628.956418,25958.061859,153.864028,6.9452161002365e-310,6.94521610023966e-310,6.94525251899943e-310,-91.203641,6.9452180488883e-310
2024-01-07T00:00:00.000000000,G29,-15630.6042,7978.739542,-20013.114555,6.9452161002428e-310,6.94525248822665e-310,6.94525243637584e-310,-609.026737,6.94521695587915e-310
2024-01-07T00:00:00.000000000,G30,-247.428366,-25720.018875,-5913.172807,6.945252436164e-310,6.9452160961417e-310,6.9452172437305e-310,-448.544956,6.9452524075888e-310
2024-01-07T00:00:00.000000000,G31,10188.779732,22648.590485,-9028.733141,6.94521724373365e-310,6.94521724344907e-310,6.9452160986816e-310,-227.139449,6.94521804641246e-310
2024-01-07T00:00:00.000000000,G32,4980.401478,16689.515205,20301.559203,6.94521609617647e-310,6.9452525190279e-310,6.94525248822665e-310,-603.055053,6.94521695589496e-310
2024-01-07T00:15:00.000000000,G01,13883.922577,-3871.597246,21957.438381,nan,nan,nan,165.442285,0.0
2024-01-07T00:15:00.000000000,G02,16508.854949,3228.154554,21113.601874,nan,nan,nan,-504.650427,6.94521736294813e-310
2024-01-07T00:15:00.000000000,G03,21340.359475,-8614.805556,13019.756117,nan,nan,nan,108.533046,-1.1817983125191136e-11
2024-01-07T00:15:00.000000000,G04,24380.977047,-9.459576,-10684.890695,nan,nan,nan,259.456158,6.94521807487776e-310
