system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-04-07 03:04:57.665849,22164,0.0000941,0.0005021,-0.0783559,0.0001212,-0.0001212,-0.0001212
2023-04-07 03:04:57.673850,22172,0.0000628,0.0005021,-0.0783245,0.0000606,0.0000000,-0.0001818
2023-04-07 03:04:57.681706,22180,0.0001569,0.0005335,-0.0783559,0.0000000,0.0000606,-0.0000606
2023-04-07 03:04:57.689702,22188,0.0002824,0.0005648,-0.0784186,0.0000606,0.0003637,0.0000606
2023-04-07 03:04:57.697659,22196,0.0004393,0.0006590,-0.0784500,0.0000606,0.0003031,0.0000000
2023-04-07 03:04:57.705608,22204,0.0004707,0.0006904,-0.0784500,0.0000000,0.0003031,0.0000606
2023-04-07 03:04:57.713586,22212,0.0004393,0.0007531,-0.0784186,0.0001212,0.0003031,-0.0000606
2023-04-07 03:04:57.721732,22220,0.0005021,0.0007531,-0.0784814,0.0000000,0.0002424,0.0000606
2023-04-07 03:04:57.729597,22228,0.0004707,0.0006904,-0.0785755,0.0000000,0.0002424,-0.0000606
2023-04-07 03:04:57.737680,22236,0.0005648,0.0006276,-0.0784814,0.0000000,0.0001212,-0.0000606
2023-04-07 03:04:57.745717,22244,0.0006590,0.0005335,-0.0786069,0.0000000,0.0000606,-0.0001818
2023-04-07 03:04:57.753713,22252,0.0005962,0.0004707,-0.0784814,-0.0000606,-0.0001212,0.0000000
2023-04-07 03:04:57.761794,22260,0.0005335,0.0004707,-0.0784186,0.0000606,-0.0001212,0.0001212
2023-04-07 03:04:57.769761,22268,0.0004079,0.0004707,-0.0784186,0.0000000,-0.0001818,-0.0001212
2023-04-07 03:04:57.777789,22276,0.0004079,0.0004079,-0.0783559,0.0000606,-0.0001818,0.0000000
2023-04-07 03:04:57.785750,22284,0.0004393,0.0003766,-0.0784186,0.0002424,-0.0002424,0.0000000
2023-04-07 03:04:57.793684,22292,0.0004079,0.0004079,-0.0784814,0.0000606,-0.0001212,0.0000606
2023-04-07 03:04:57.801750,22300,0.0004393,0.0004079,-0.0784500,0.0000606,-0.0002424,0.0001212
2023-04-07 03:04:57.809754,22308,0.0004393,0.0004079,-0.0784500,0.0000606,-0.0003637,0.0001818
2023-04-07 03:04:57.817764,22316,0.0003766,0.0004707,-0.0783872,-0.0000606,-0.0001212,-0.0000606
2023-04-07 03:04:57.825930,22324,0.0003766,0.0004707,-0.0783872,-0.0000606,-0.0002424,0.0000000
2023-04-07 03:04:57.833814,22332,0.0003452,0.0005648,-0.0784814,0.0000000,-0.0002424,0.0000000
2023-04-07 03:04:57.841637,22340,0.0004393,0.0005962,-0.0785128,-0.0001212,-0.0001818,-0.0001212
2023-04-07 03:04:57.849921,22348,0.0003452,0.0007217,-0.0784500,-0.0000606,-0.0001818,-0.0001212
2023-04-07 03:04:57.857935,22356,0.0002824,0.0007531,-0.0784186,-0.0001818,-0.0000606,-0.0000606
2023-04-07 03:04:57.865941,22364,0.0001883,0.0008159,-0.0784186,0.0000606,-0.0001818,-0.0000606
2023-04-07 03:04:57.873878,22372,0.0002197,0.0008473,-0.0784186,-0.0001212,-0.0000606,-0.0001212
2023-04-07 03:04:57.881956,22380,0.0001255,0.0006904,-0.0784814,-0.0000606,0.0001212,-0.0001212
2023-04-07 03:04:57.889861,22388,0.0002510,0.0006590,-0.0784500,0.0001818,0.0001212,0.0000606
2023-04-07 03:04:57.897669,22396,0.0002197,0.0005962,-0.0783559,0.0000606,0.0002424,-0.0000606
2023-04-07 03:04:57.905751,22404,0.0002824,0.0005021,-0.0783559,0.0000000,0.0001818,0.0000000
2023-04-07 03:04:57.913561,22412,0.0003766,0.0004079,-0.0783872,0.0000606,0.0002424,0.0000606
2023-04-07 03:04:57.921734,22420,0.0004393,0.0004393,-0.0784814,0.0001818,0.0004243,0.0000606
2023-04-07 03:04:57.929687,22428,0.0005021,0.0003452,-0.0784500,0.0000606,0.0001818,0.0001212
2023-04-07 03:04:57.937648,22436,0.0004707,0.0004707,-0.0784186,0.0000000,0.0003031,0.0000000
2023-04-07 03:04:57.945535,22444,0.0005648,0.0004707,-0.0785128,-0.0000606,0.0001212,0.0000606
2023-04-07 03:04:57.953781,22452,0.0005962,0.0004707,-0.0783872,-0.0000606,0.0000000,-0.0001212
2023-04-07 03:04:57.961814,22460,0.0006276,0.0005021,-0.0785128,-0.0001818,0.0000000,-0.0001212
2023-04-07 03:04:57.969801,22468,0.0005962,0.0005021,-0.0784814,0.0000000,-0.0001818,-0.0000606
2023-04-07 03:04:57.977784,22476,0.0005962,0.0005648,-0.0785441,0.0000000,-0.0002424,-0.0001818
2023-04-07 03:04:57.985809,22484,0.0004707,0.0005021,-0.0784814,-0.0001818,-0.0003031,-0.0001818
2023-04-07 03:04:57.993926,22492,0.0004393,0.0005648,-0.0785128,0.0000606,-0.0003637,0.0000000
2023-04-07 03:04:58.001725,22500,0.0003452,0.0005648,-0.0784186,0.0000606,-0.0003637,0.0000000
