time, sat, X, Y, Z, Vx, Vy, Vz, clock, dclock
2024-01-07T00:15:00.000000000,G06,-6155.142439,-25778.468423,119.640536,nan,nan,nan,453.463744,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G07,7546.001289,-18632.412379,-16630.626432,nan,nan,nan,-30.982357,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G08,26233.788493,4997.452136,2052.932797,nan,nan,nan,-160.815824,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G09,16063.864959,-9644.020407,-18934.644722,nan,nan,nan,50.658727,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G10,-6312.652765,20612.180036,15492.071497,nan,nan,nan,-68.312681,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G11,-11881.083256,-21221.825827,-10706.907742,nan,nan,nan,-530.304989,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G12,-22037.905781,7225.010217,12597.278904,nan,nan,nan,-465.284124,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G13,-22093.64327,-13923.294485,-5646.983578,nan,nan,nan,613.316541,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G14,10013.414594,-21249.791593,12240.348505,nan,nan,nan,291.720373,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G15,-26506.039696,-2423.709254,1252.64423,nan,nan,nan,114.619357,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G16,12804.176649,9102.497479,-21790.909136,nan,nan,nan,-389.321687,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G17,2328.676357,-15176.182287,22093.385998,nan,nan,nan,720.461392,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G18,-6699.926791,19783.732836,-16280.710244,nan,nan,nan,-525.786053,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G19,-8221.249055,-17006.726801,18624.932705,nan,nan,nan,422.995589,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G20,-8198.840099,-14116.069893,-20923.647772,nan,nan,nan,392.812222,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G21,17223.432358,8600.927419,19185.411968,nan,nan,nan,139.21482,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G22,3886.149625,-19488.689703,18196.700091,nan,nan,nan,52.666866,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G23,-16006.98793,20641.484647,4236.438825,nan,nan,nan,130.370737,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G24,-17024.398894,-4593.776077,19567.999079,nan,nan,nan,-408.887411,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G25,-19919.860573,17018.114087,2997.451631,nan,nan,nan,484.337256,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G26,5255.310106,16608.086629,-20097.307751,nan,nan,nan,202.66507,6.93758148488124e-310
2024-01-07T00:15:00.000000000,G28,5337.173326,25843.618223,3002.310601,nan,nan,nan,-91.213623,6.93758148488124e-310
